content_id,title,content,industry,capabilities
1,tech economy The,Content 1,education,"['digital transformation', 'sustainability', 'sales & marketing']"
2,money impact ways,Content 2,retail,"['innovation', 'strategy management', 'customer insights', 'sales & marketing', 'sustainability']"
3,impact how consulting,Content 3,technology,"['strategy management', 'customer insights', 'sustainability', 'innovation', 'M&a']"
4,solar The keep,Content 4,energy,"['sustainability', 'digital transformation', 'M&a']"
5,energy how The,Content 5,retail,"['strategy management', 'digital transformation']"
6,many many rise,Content 6,financial services,"['customer insights', 'M&a', 'sales & marketing', 'innovation', 'sustainability', 'digital transformation']"
7,when do customers,Content 7,financial services,"['digital transformation', 'customer insights', 'sales & marketing', 'strategy management']"
8,health money keep,Content 8,healthcare,['digital transformation']
9,money customers cheap,Content 9,retail,"['sales & marketing', 'customer insights', 'innovation']"
10,do expensive edtech,Content 10,energy,"['digital transformation', 'customer insights', 'innovation', 'M&a', 'sustainability', 'strategy management', 'sales & marketing']"
11,finance moving strategic,Content 11,healthcare,"['innovation', 'digital transformation']"
12,consulting services finance,Content 12,technology,"['digital transformation', 'innovation', 'sales & marketing', 'customer insights']"
13,sell how data,Content 13,technology,"['sales & marketing', 'digital transformation', 'innovation', 'M&a', 'strategy management', 'customer insights']"
14,ESG ESG healthcare tech,Content 14,healthcare,"['strategy management', 'customer insights', 'sales & marketing']"
15,to to crypto,Content 15,technology,"['M&a', 'innovation']"
16,how health finance,Content 16,energy,"['innovation', 'customer insights', 'strategy management', 'digital transformation', 'M&a', 'sustainability', 'sales & marketing']"
17,customers market sell,Content 17,technology,"['innovation', 'digital transformation', 'strategy management', 'sustainability', 'M&a', 'sales & marketing']"
18,insights what finance,Content 18,financial services,"['M&a', 'strategy management']"
19,do sell finance,Content 19,technology,"['sales & marketing', 'digital transformation', 'sustainability', 'strategy management', 'customer insights']"
20,luxury edtech keep,Content 20,retail,"['sustainability', 'M&a', 'sales & marketing']"
21,AI ways healthcare tech,Content 21,healthcare,"['innovation', 'sales & marketing', 'sustainability', 'customer insights', 'strategy management', 'digital transformation', 'M&a']"
22,money to why,Content 22,technology,"['strategy management', 'M&a', 'sales & marketing', 'digital transformation', 'innovation', 'customer insights', 'sustainability']"
23,AI edtech strategic,Content 23,education,"['customer insights', 'sustainability', 'strategy management', 'innovation', 'digital transformation', 'M&a', 'sales & marketing']"
24,finance money more,Content 24,financial services,"['sustainability', 'customer insights']"
25,health economy rise,Content 25,technology,"['M&a', 'sales & marketing', 'sustainability']"
26,money when moving,Content 26,retail,"['M&a', 'innovation']"
27,customers AI services,Content 27,technology,"['strategy management', 'innovation', 'sales & marketing']"
28,more many energy,Content 28,financial services,['innovation']
29,economy why crypto,Content 29,financial services,['digital transformation']
30,services to ESG,Content 30,healthcare,"['innovation', 'digital transformation', 'strategy management', 'customer insights', 'M&a']"
31,to why edtech,Content 31,financial services,"['strategy management', 'digital transformation']"
32,energy when edtech,Content 32,retail,"['digital transformation', 'sustainability', 'sales & marketing', 'customer insights', 'strategy management']"
33,economy education insights,Content 33,technology,"['sales & marketing', 'customer insights', 'M&a', 'digital transformation', 'strategy management', 'innovation']"
34,business sell sustain,Content 34,retail,['sustainability']
35,energy improve finance,Content 35,healthcare,['M&a']
36,crypto business impact,Content 36,technology,"['M&a', 'digital transformation', 'customer insights', 'innovation']"
37,solar time products,Content 37,technology,['sustainability']
38,economy ESG luxury,Content 38,energy,"['digital transformation', 'sales & marketing', 'customer insights']"
39,when management economy,Content 39,retail,['sales & marketing']
40,customers expensive sustain,Content 40,retail,"['sales & marketing', 'innovation', 'M&a', 'strategy management', 'sustainability', 'digital transformation']"
41,cheap data improve,Content 41,healthcare,['sustainability']
42,economy how many,Content 42,retail,"['M&a', 'digital transformation']"
43,VR impact how,Content 43,technology,"['M&a', 'innovation', 'customer insights', 'sales & marketing', 'digital transformation', 'strategy management']"
